216,Aux yeux des vivants,Fiction,2013,BUSTILLO Alexandre / MAURY Julien,METALUNA PRODUCTIONS / SOCIETE NOUVELLE DE DISTRIBUTION
217,Bonheur? terre promise (Le),Docu,2013,HASSE Laurent,LA BASCULE
218,Boys like us,Fiction,2013,CHIHA Patric,AURORA FILMS / EPICENTRE FILMS
219,Breves de comptoir,Fiction,2013,RIBES Jean-Michel,FRANCE 3 CINEMA / MON VOISIN PRODUCTIONS / ULYSSE FILMS
220,Duchesse de Varsovie (La),Fiction,2013,MORDER Joseph,LA VIE EST BELLE FILMS ASSOCIES
221,Gemma Bovery,Fiction,2013,FONTAINE Anne,ALBERTINE PRODUCTIONS / CINE-@ / FRANCE 2 CINEMA
222,Geronimo,Fiction,2013,GATLIF Tony,CENTRE EUROPEEN CINEMATOGRAPHIQUE RHONE ALPES / PRINCES FILMS / PRINCES PRODUCTION
223,Grandir,Docu,2013,CABRERA Dominique,AD LIBITUM / IN THE MOOD
224,Intersections,Fiction,2013,MARCONI David,EUROPACORP / GRIVE PRODUCTIONS
225,Mange tes morts,Fiction,2013,HUE Jean-Charles,CAPRICCI PRODUCTION
226,Situation amoureuse : c'est complique,Fiction,2013,PAYET Manu,D8 FILMS / LGM CINEMA / STUDIOCANAL
227,Son epouse,Fiction,2013,SPINOSA Michel,EX NIHILO / FRANCE 3 CINEMA
228,The Lebanese Rocket Society,Docu,2013,HADJITHOMAS Joana / JOREIGE Khalil,MILLE ET UNE PRODUCTIONS
229,The Lunchbox,Fiction,2013,BATRA Ritesh,ARTE FRANCE CINEMA / ASAP FILMS
230,The Smell of us,Fiction,2013,CLARK Larry,PMP / POLARIS FILM PRODUCTION & FINANCE
231,8TH WONDERLAND,Fiction,2010,MACH Jean / ALBERNY Nicolas,M A D FILMS
232,APRES LE SUD,Fiction,2010,JAUFFRET Jean-Jacques,EXPLICIT FILMS
233,ART D'AIMER (L'),Fiction,2010,MOURET Emmanuel,MOBY DICK FILMS / PARTIZAN FILMS
