Kairos le moment opportun,Fiction,2017,BUENAVENTURA VIDAL Nicolas,PETIT FILM ET LES FILMS DU RAT
Kings,Fiction,2017,GAMZE ERGUVEN Deniz,CG CINeMA INTERNATIONAL
Larguees,Fiction,2017,LANG Eloise,ESTRELLA PRODUCTIONS ET PATHe PRODUCTION
Premieres vacances,Fiction,2017,CASSIR Patrick,THE FILM
Tout la-haut,Fiction,2017,HAZANAVICIUS Serge,MY FAMILY ET ROUGE INTERNATIONAL
Un couteau dans le coeur,Fiction,2017,GONZALEZ Yann,CHARLES GILLIBERT CG CINeMA
20 ans apres - histoire d'une deliberation,Docu,2016,VASSAULT Florent,ANDOLFI
Clichy kids,Docu,2016,FROMENTAL Antoine,MILLE ET UNE PRODUCTIONS
Django Melodies,Fiction,2016,COMAR Etienne,CURIOSA FILMS
Game girls,Docu,2016,SKRZESZEWSKA Alina,FILMS DE FORCE MAJEURE
Tout nous separe,Fiction,2016,KLIFA Thierry,LES FILMS DU KIOSQUE
Ciel rouge,Fiction,2015,LORELLE Olivier,MILLE ET UNE PRODUCTIONS
Comme une chanson americaine,Fiction,2015,AVEDIKIAN Serge,MOBY DICK FILMS
Tsili,Fiction,2013,GITAI Amos,AGAV FILMS SARL
AB IRATO SOUS L'EMPIRE DE LA COLERE,Fiction,2010,BOCCAROSSA Dominique,LES FILMS D'ICI
AU CUL DU LOUP,Fiction,2010,DUCULOT Pierre,PERSPECTIVE FILMS
SAUVAGE,Fiction,2010,AMIGUET Jean-Francois,PERSPECTIVE FILMS
SI TU MEURS JE TE TUE !,Fiction,2010,SALEEM Hiner,MACT PRODUCTIONS
All inclusive,Fiction,2018,ONTENIENTE Fabien,MARVELOUS PRODUCTIONS ET CURIOSA FILMS
Isola,Fiction,2018,DESCHAMPS Fabianny,PARAISO PRODUCTION DIFFUSION ET POMME HURLANTE FILMS
Je te promets d'etre sage,Fiction,2018,LE PAGE Ronan,EASY TIGER
M,Docu,2018,ZAUBERMAN Yolande,CHARLES GILLIBERT CG CINeMA ET PHOBICS
Mignonnes,Fiction,2018,DOUCOURE Maimouna,ZANGRO
Mon corps vous ensevelira,Fiction,2018,LA PAROLA Giovanni,CINEMORGANA
